Store Number,Store Name,County Number
4804,Walgreens #07833 / Des Moines,77
2178,"Double ""D"" Liquor Store",3
3959,Hartig Drug Company #8 / University,31
4340,Dahl's Foods / Ames,85
3791,Pit Stop Liquor and Tobacco,37
4892,Sara Mini Mart,82
3997,Wal-Mart 4606 / Osceola,20
3756,Main Street Liquors / Manning,14
4182,Fareway Stores #008 / Dyersville,31
4485,DYNO'S 51 / SANBORN,71
2228,Rodgers Spirits and More,61
3451,Barnes Foodland,23
2578,Hy-Vee / Charles City,34
3013,Keith's Foods,26
4991,Fasttrak,22
4456,Kum & Go #53 / Iowa City,52
4585,Casey's General Store #2561 / Farley,31
2630,Hy-Vee Drugstore #2 / WDM,77
3660,Wal-Mart 2935 / Knoxville,63
2623,Hy-Vee Food Store #4 / Sioux City,97
3540,Super Target T-0533 / Davenport,82
3592,Wal-Mart 0886 / Fort Dodge,42
3549,Quicker Liquor Store,56
5147,Victor's Market,79
4433,Kum & Go #24  Pleasant Hill,77
4343,Best Food Mart / Des Moines,77
4165,I-35 Spirits / Ankeny,77
4155,Fareway Stores #949 / Marion,57
3831,The Market Of Madrid,8
2664,Hy-Vee C-Store / Charles City,34
4014,Wal-Mart 1732 / Denison,24
4622,Quik Trip #544 / SE 14th DM,77
4672,The Pit Stop / River City Liquor,22
3990,Cork and Bottle / Oskaloosa,62
4213,Sunny's Mart,23
4222,Station Mart Liquor and Tobbacco,7
3056,Clarion Super Valu Ii,99
4651,Casey's General Store #2300 / Jewell,40
3950,Hometown Foods / State Center,48
4439,CENTER POINT FOODS,57
4659,Casey's General Store #2802 / Conrad,38
3584,L and M Beverage,33
4764,New Star / Fort Dodge,94
4432,Kum & Go #201 Coralville,52
4962,Hilltop Grocery,82
4848,Kum & Go #246 / Winterset,61
4107,Fareway Stores #384 / Boone,8
3524,Sam's Club 6568 / Ames,85
2843,CVS Pharmacy #8526 / Cedar Rapids,57
2518,Hy-Vee Wine and Spirits / Red Oak,69
2511,Hy-Vee / Drugtown #2 / Cedar Rapids,57
4412,Kum & Go #267 / Tipton,16
3582,Korthouse Liquor,27
4729,No Frills Supermarkets #790 / Deniso,24
4562,Casey's General Store #2989 / Mechan,16
4762,Huber's Store Inc.,96
4106,Hartig Drug Co. / JFK Rd / Dubuque,31
3855,Dyno's Wine and Spirits / Storm Lake,11
5006,Kwik Stop 16th Street #325,31
3989,Liquor On The Corner / Cherokee,18
4303,Mepo Foods,29
3822,The Secret Cellar,52
3692,Wilkie Liquors,57
4294,Lena's Liquors,40
4861,The Station / Cedar Rapids,57
4153,Fareway Stores #067 / Evansdale,7
3722,Wal-Mart 1361 / Sioux City,97
4351,Kum & Go #301 / Clear Lake,17
2642,Hy-Vee Wine and Spirits / Pella,63
4331,Moore's Foods,33
4576,THE BOONEDOCKS,30
3866,Target Store T-1170 / Ames,85
4557,Hometown Foods / Traer,86
4262,Cork and Bottle / Carroll,14
4839,DS Services LLC,98
4429,Kum & Go #32 / Colfax,50
4024,Wal-Mart 1546 / Iowa Falls,42
2600,Hy-Vee Food Store / Oskaloosa,62
4681,Spirits & Such,33
4289,Fareway Stores #062 / Waukon,3
4889,Fast Trip / Des Moines,77
4200,Fareway Stores #019 / Sioux City,97
4378,Kum & Go #202 / 4th St Waukee,25
3829,Gary's Foods / Mt Vernon,57
3894,Smokin' Joe's #6 Tobacco and Liquor,57
4183,Fareway Stores #589 / Decorah,96
3647,Wal-Mart 2889 / Clinton,23
2596,Hy-Vee / Regal Liquors and Video,90
4204,Fareway Stores #025 / Clinton,23
4487,Casey's General Store #2787 / Cedar,57
4879,Sam's Mini Mart / Morningside Ave Si,97
4320,Fareway Stores #470 / Perry,8
3981,Wal-Mart 1152 / Sioux Center,84
4139,University Groceries,77
2645,Hy-Vee Drugstore / Muscatine,70
4580,Smokin' Joe's #9 Tobacco and Liquor,92
4905,South Side Grocery,13
4184,Fareway Stores #998 / Muscatine,70
4524,Casey's General Store #1139 / Nora S,34
4783,Casey's General Store #1684 / Emmets,74
4509,A J'S LIQUOR II,85
4410,Kum & Go #203 / Perry,8
4279,Keota Eagle Foods,54
3857,Quillins Food Ranch / Waukon,3
4600,Kum & Go #207 / Hubbell DM,77
4025,Karam Kaur Khasriya Llc,6
3995,Barmuda Distribution,7
4091,Fareway Stores #705 / Clear Lake,17
4431,Kum & Go #89 / Fort Dodge,94
4067,Freeman Foods,90
2851,CVS / Pharmacy #10282 / Fort Dodge,94
4841,Cozy Mart,82
4235,Fareway Stores #395 / Webster City,40
3521,Ameristar Casino / Council Bluffs,78
4696,Quik Trip #517 / West Des Moines,77
4709,Walgreens #12108 / Ames,85
4364,Kum & Go #22 / Grinnell,79
4257,Broadway Liquor,7
4484,JEFF'S MARKET / WEST LIBERTY,70
5038,Jim's Food,7
5012,Bluejay Market,8
4856,Brothers Market / Lisbon,57
4840,Independence Ave Liquor & Food / Wat,7
4678,Fareway Stores #124 / Adel,25
2618,Hy-Vee Drugstore #6 / Cedar Rapids,57
4471,Kum & Go #212 / WATERLOO,7
4317,Fareway Stores #941 / Greenfield,1
4588,Sam's Mini Mart / Sioux City,97
4076,Sakar Liquor Store,82
2845,CVS Pharmacy #4816 / Council Bluffs,78
4441,SPEEDE SHOP,22
